event_id,type,value,comment
15404,md5,003c31acbc417d777232960a502158c8,
15404,md5,5ffaa31b6bdb230103cad1d3a7e88982,
15404,md5,9375cff0413111d3b88a00104b2a6676,
15404,md5,a1da7ee6e62dd8a6226a13e22ee63f51,
15404,sha1,4005b309336cda3a4f0c72655163176a23cdf8fd,
15404,sha1,4d2def6ee868c20a4aa74b658dae9794c1724a69,
15404,sha1,b222e9a5361ce4aab6ac55272cb485feafe8e79c,
15404,sha256,31389cb2f067020f181462bab3519c22fd88da084012729e9edf79d15427b86f,
15404,sha256,9c49266e315eb76ce73cbe542cfd2bbf28844689944ac8776daecbdcdecd8cf8,
15404,sha256,f5c54fce6c9e2f84b084bbf9968c9a76d9cd74a11ccf4fcba29dbe2e4574e3d7,
15404,ip-dst,193.143.1.205,
15475,md5,271998018494403a9b5d0d4b01eb0c44,
15475,md5,a1765503f1405b24b77a16071e6ea6f6,
15475,md5,d2410703e93be61a652b92efcf42789d,
15475,sha1,982c6db5e35382ec49e57f4b0855f820add9a213,
15475,sha1,c1ff775ce01d756e778513a5bd40ace004576ab1,
15475,sha1,d74004bd257f4274bdfab89e0f781aaee91ed56b,
15475,sha256,03a160127cce3a96bfa602456046cc443816af7179d771e300fec80c5ab9f00f,
15475,sha256,5203f2667ab71d154499906d24f27f94e3ebdca4bba7fe55fe490b336bad8919,
15475,sha256,96b9f84cc7bf11bdc3ce56c81cca550753790b3021aa70ec63b38d84b0b50f89,
15475,sha256,e5255d5f476784fcef97f9c41b12665004c1b961e35ad445ed41e0d6dbbc4f8e,
15475,ip-dst,38.134.148.20,
15475,ip-dst,5.252.177.249,
15606,ip-dst,38.60.216.25,New Spyder C2 Infrastructure Identified
15606,ip-dst,38.54.84.234,New Spyder C2 Infrastructure Identified
15606,ip-dst,185.195.64.165,New Spyder C2 Infrastructure Identified
15606,ip-dst,38.54.68.13,New Spyder C2 Infrastructure Identified
15606,ip-dst,38.54.81.179,New Spyder C2 Infrastructure Identified
15606,ip-dst,45.32.100.246,New Spyder C2 Infrastructure Identified
15606,sha256,19b6c96b8cdc8fe98b8b0a1f81c2dfb385429dde5eb4d9bd7e09f088df28b5eb,New Spyder C2 Infrastructure Identified
15606,md5,b2ac3022e790146f7e090aaecf944d40,Suspicion of Impersonation IOC's - 150425
15606,sha1,4b11d82adf33b97d0fd4a1191d5121e08452694b,Suspicion of Impersonation IOC's - 150425
15606,sha256,7d536b5691736ebdb00b102d22eb47733ea3ac89948e27028ddcdf076cf073cb,Suspicion of Impersonation IOC's - 150425
15606,sha256,7b8363d172a88d104e2a9ea2cf57a20422a578e7b0c6aeb7423902f47c3e4ceb,Phishing campaign - 17.4.25
15606,md5,6150b17d97c0430ec2d94ecda283777b,Phishing campaign - 17.4.25
15606,sha1,9d1000cb9d23047d2773cfc67cf3210bceb1d63d,Phishing campaign - 17.4.25
15606,sha256,3c24b642047f74a74e95949dd45e9484dff9dc5c2d8bb1ca514f8f3e9596fff3,Phishing campaign - 17.4.25
15606,md5,a775b3174f02ee75f0532a3a25632bf3,Phishing campaign - 17.4.25
15606,sha1,70db52117d7d7ef1018cc71ab353af205cdcca40,Phishing campaign - 17.4.25
15676,ip-dst,147.185.221.24,
15676,ip-dst,86.54.42.120,
15676,md5,1616ecd3614f3e34b9b1d5a9dde9fee2,
15676,md5,1b475a270fbe0337185c753791f98e60,
15676,md5,2b95e25e48fe383b5bbb73f18744d8f9,
15676,md5,3150bf7e0c4df85ef20aad246549aa88,
15676,md5,542556e663e132ef014357b957ace728,
15676,md5,555dccf37e67bbbfd8f94243420c9b9c,
15676,md5,61506280fc7e663db6715ac2206af6d4,
15676,md5,7a3e43c2971746c84d32f8a448823673,
15676,md5,888d8c94cbf67a9ce6fdb71fe8d99d88,
15676,md5,97e2ac2cf84e2945fdde9af90266fe3d,
15676,md5,c97743f1539458e9c92fd116a3790e33,
15676,md5,eebd2944160645bd54f258ea6b17fa53,
15676,sha1,08b75724c68f25ac831ba2c7508f18bf3a398c9f,
15676,sha1,2843cc68350eeb6d629eeb29f11403c4eab956fa,
15676,sha1,388e2b9963d003a7f2820759764f222af0c99aff,
15676,sha1,3b42f1e497c909d48343768b58e9e5222d540330,
15676,sha1,49c312f5d48f02a4285aac05b70b133ed68735bb,
15676,sha1,689af973c21fa611e70346558a0d742558ecab24,
15676,sha1,87530daa2a9b0f8714421c64a85c02d89b245811,
15676,sha1,95a217464c47e0bdb193d6b5c44b0d329d47c338,
15676,sha1,984e833bc7368eb74688c336d4492b55dc151093,
15676,sha1,a6476a6e27b3ed48df8b9eeebd19dc8146393273,
15676,sha1,be92fe476fd34a2b20259314da175e4b9ebda5b1,
15676,sha1,eb80e88ccaa791135630aebc0c93b2dff41e26a5,
15676,sha256,019ba14b03b42a1d3f3496659573e8ba9440340ea16166c3e294164f9bb8f3ef,
15676,sha256,033f50893be3bb35ec8cc358d6d7fc764d327b00158617f8deac08a60e5f6883,
15676,sha256,0368bf651d5ce7e58305dd300a428d12e6a64d456a4805e845cb1985196bb5fc,
15676,sha256,04dbc65a0ec0a3d95aeec8161816352a22ce74c19fcd002f631879e990c2d468,
15676,sha256,0877653f6a24639bb02b547c94f670597c3c0cd96df910a2ac891eaeaa9cc5f3,
15676,sha256,0a20a60ef5151f8adaf9dcd819f970d9aff20d8eb8f905fba55ccc0e91c446be,
15676,sha256,0abecc48522a2aa66c798e817f0412dc71df2875b8908255208642fe019ab9d3,
15676,sha256,0ae3e6a8af0d7657f820986291dab1f071007de4197214c976893eb78e8e200f,
15676,sha256,11e0596f453ccf8f30ba8177e7df50517e364326585d1cefb4c59de277b0f6aa,
