type,value,comment
ip-dst,27.124.10.95,https://x.com/harugasumi/status/1900712610884186280
ip-dst,45.192.170.198,https://x.com/harugasumi/status/1900712610884186280
ip-dst,223.10.116.102,https://x.com/threatquery/status/1900735025852936455
ip-dst,63.177.45.64,https://x.com/threatquery/status/1900735024141660590
ip-dst,123.5.146.249,https://x.com/threatquery/status/1900735027522265239
ip-dst,47.242.181.191,https://x.com/harugasumi/status/1900775808794558694
ip-dst,38.54.115.233,https://x.com/drb_ra/status/1900791404080816486
ip-dst,171.244.143.184,https://x.com/drb_ra/status/1900791520904835510
sha256,800050cf75e1221e5c4befcbf47b2bc0dcc2bed39ad457e14e805565401afad3,https://x.com/CarlyGriggs13/status/1900797631322079584
ip-dst,65.87.7.80,https://x.com/drb_ra/status/1900800416176369993
ip-dst,193.29.13.179,https://x.com/drb_ra/status/1900800529367990502
ip-dst,194.163.188.142,https://x.com/drb_ra/status/1900800545683894342
ip-dst,176.65.141.74,https://x.com/drb_ra/status/1900801021720621342
ip-dst,13.125.230.160,https://x.com/drb_ra/status/1900801103702397055
ip-dst,13.246.38.200,https://x.com/drb_ra/status/1900801117870846167
ip-dst,198.12.89.160,https://x.com/drb_ra/status/1900801235881726387
ip-dst,87.121.84.251,https://x.com/drb_ra/status/1900801246006538729
ip-dst,15.204.130.251,https://x.com/drb_ra/status/1900801275106914308
ip-dst,163.5.112.79,https://x.com/drb_ra/status/1900801284279529713
ip-dst,196.251.69.63,https://x.com/drb_ra/status/1900801296065565031
ip-dst,209.160.113.106,https://x.com/drb_ra/status/1900801311282471039
sha256,81a57d9a354f1ce6ed196439fa5e133fa238efa22f4b7baf75da4359135ed508,https://x.com/malwrhunterteam/status/1900818097495269407
sha256,88502ddda4ea16f7c1d8929e681902e67895cbee56f31ce2fc77c8420de0a8ac,https://x.com/malwrhunterteam/status/1900818655161532889
ip-dst,83.147.240.230,https://x.com/malwrhunterteam/status/1900818931926835677
ip-dst,31.172.87.240,https://x.com/drb_ra/status/1900820323899240670
ip-dst,194.163.180.87,https://x.com/drb_ra/status/1900820334170824783
ip-dst,51.17.79.84,https://x.com/drb_ra/status/1900848756142023142
ip-dst,54.180.235.236,https://x.com/drb_ra/status/1900848775591084513
ip-dst,13.208.113.115,https://x.com/drb_ra/status/1900848793857163498
ip-dst,80.180.123.169,https://x.com/drb_ra/status/1900848854058107365
ip-dst,51.222.185.197,https://x.com/drb_ra/status/1900848893937483983
ip-dst,217.114.43.234,https://x.com/drb_ra/status/1900848937424015382
ip-dst,38.49.40.240,https://x.com/drb_ra/status/1900848958810804336
ip-dst,186.212.31.203,https://x.com/drb_ra/status/1900848980935815519
ip-dst,142.171.168.59,https://x.com/drb_ra/status/1900849002356060309
ip-dst,209.97.165.53,https://x.com/drb_ra/status/1900849025277968421
ip-dst,196.251.70.199,https://x.com/drb_ra/status/1900849046635340228
ip-dst,152.228.174.215,https://x.com/drb_ra/status/1900849094139998435
ip-dst,167.99.105.30,https://x.com/drb_ra/status/1900849118815060125
ip-dst,189.142.54.63,https://x.com/drb_ra/status/1900849140390654298
ip-dst,42.51.0.226,https://x.com/drb_ra/status/1900849160493953489
ip-dst,159.203.82.72,https://x.com/drb_ra/status/1900849181318586726
ip-dst,87.0.58.111,https://x.com/drb_ra/status/1900849201367445625
ip-dst,184.73.114.110,https://x.com/drb_ra/status/1900849221399420970
ip-dst,18.230.25.70,https://x.com/drb_ra/status/1900849545644228960
ip-dst,15.188.76.86,https://x.com/drb_ra/status/1900849562455101895
ip-dst,107.172.3.15,https://x.com/drb_ra/status/1900849798267150584
ip-dst,172.245.123.24,https://x.com/ShanHolo/status/1900850021504856282
md5,c338c9cdccb21a6f023987865b4a6269,https://x.com/ShanHolo/status/1900850021504856282
ip-dst,23.88.120.188,https://x.com/drb_ra/status/1900850726298919067
ip-dst,96.9.124.205,https://x.com/drb_ra/status/1900850743822717084
ip-dst,129.204.254.108,https://x.com/drb_ra/status/1900850938488803392
ip-dst,167.88.167.113,https://x.com/drb_ra/status/1900850957174378519
ip-dst,101.35.228.105,https://x.com/drb_ra/status/1900850975516094681
ip-dst,154.219.120.25,https://x.com/drb_ra/status/1900850993513787539
ip-dst,31.15.17.17,https://x.com/drb_ra/status/1900851012245598715
ip-dst,213.94.218.17,https://x.com/drb_ra/status/1900851031539425726
ip-dst,213.94.218.18,https://x.com/drb_ra/status/1900851031539425726
ip-dst,104.168.19.195,https://x.com/drb_ra/status/1900851072345767989
ip-dst,113.44.194.13,https://x.com/drb_ra/status/1900851091115286993
ip-dst,166.88.2.184,https://x.com/drb_ra/status/1900851112426487909
ip-dst,119.251.162.114,https://x.com/drb_ra/status/1900851130592067942
ip-dst,43.245.198.185,https://x.com/drb_ra/status/1900851150972187136
ip-dst,151.236.21.2,https://x.com/drb_ra/status/1900851168831488427
ip-dst,38.165.20.175,https://x.com/drb_ra/status/1900851186695037249
ip-dst,94.237.50.232,https://x.com/drb_ra/status/1900851203346485367
ip-dst,104.250.169.68,https://x.com/drb_ra/status/1900851220232675448
ip-dst,95.217.62.121,https://x.com/drb_ra/status/1900851236686987406
ip-dst,64.23.171.108,https://x.com/drb_ra/status/1900854306598789346
ip-dst,43.226.229.205,https://x.com/drb_ra/status/1900854326706221065
ip-dst,104.219.234.172,https://x.com/drb_ra/status/1900854345186283881
ip-dst,13.208.252.170,https://x.com/drb_ra/status/1900854404594442531
ip-dst,51.20.83.11,https://x.com/drb_ra/status/1900854851023626268
ip-dst,173.212.208.95,https://x.com/drb_ra/status/1900854870678130751
ip-dst,102.100.73.159,https://x.com/drb_ra/status/1900854974952722592
ip-dst,54.233.69.35,https://x.com/drb_ra/status/1900854995706093819
ip-dst,64.72.205.68,https://x.com/drb_ra/status/1900855016581116216
ip-dst,35.155.232.238,https://x.com/drb_ra/status/1900855037577888005
ip-dst,18.231.255.164,https://x.com/drb_ra/status/1900855062173204961
ip-dst,101.200.159.69,https://x.com/drb_ra/status/1900855391442944402
ip-dst,212.192.12.110,https://x.com/drb_ra/status/1900855425752334498
ip-dst,124.221.144.169,https://x.com/drb_ra/status/1900855518177951992
ip-dst,43.138.54.95,https://x.com/drb_ra/status/1900855518177951992
ip-dst,148.66.2.196,https://x.com/drb_ra/status/1900855537807343692
ip-dst,39.105.31.188,https://x.com/drb_ra/status/1900855555029143588
ip-dst,190.2.146.205,https://x.com/drb_ra/status/1900855572473233876
ip-dst,47.92.75.127,https://x.com/drb_ra/status/1900855589372076077
ip-dst,47.92.121.20,https://x.com/drb_ra/status/1900855589372076077
ip-dst,101.126.91.35,https://x.com/drb_ra/status/1900855606438748207
ip-dst,148.66.2.198,https://x.com/drb_ra/status/1900855622997823539
ip-dst,47.83.166.243,https://x.com/drb_ra/status/1900855641310220372
ip-dst,148.66.2.194,https://x.com/drb_ra/status/1900855658305511511
ip-dst,148.66.2.197,https://x.com/drb_ra/status/1900855658305511511
ip-dst,124.71.161.5,https://x.com/drb_ra/status/1900855675959292341
ip-dst,15.168.15.67,https://x.com/drb_ra/status/1900855848580141404
ip-dst,18.170.115.178,https://x.com/drb_ra/status/1900855866334626211
ip-dst,172.205.115.95,https://x.com/drb_ra/status/1900857995673653407
ip-dst,43.128.147.70,https://x.com/drb_ra/status/1900858015252684931
ip-dst,123.56.226.71,https://x.com/drb_ra/status/1900858408888102921
ip-dst,185.81.114.184,https://x.com/drb_ra/status/1900858431608627262
ip-dst,213.209.143.31,https://x.com/drb_ra/status/1900858565348167802
ip-dst,177.68.42.191,https://x.com/drb_ra/status/1900858586898538931
ip-dst,86.54.42.182,https://x.com/drb_ra/status/1900858609413537834
